time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
14256,14.0665,0.355246,0.175768,16.8635,26.956
14288,15.0669,0.354319,0.175768,17.9265,31.9137
14322,13.0101,0.449855,0.192927,16.7949,34.0025
14353,14.0359,0.329275,0.180869,15.9805,30.905
14384,14.9435,0.322319,0.180406,17.0778,31.0168
14417,15.8405,0.336232,0.181797,16.0779,32.9822
14449,28.7824,0.448,0.177623,16.0863,32.9196
14495,14.6834,0.399768,0.17484,16.2973,46.0062
14527,15.6322,0.376116,0.190145,16.3288,31.9856
14560,16.5143,0.352,0.176232,16.3237,33.0198
14594,12.5514,0.345043,0.182725,16.4781,33.8615
14624,13.4038,0.382145,0.195246,16.3896,30.0536
14655,14.5266,0.345043,0.185507,16.5329,30.8433
14687,15.3656,0.350609,0.184116,16.563,32.0524
14720,14.3606,0.32371,0.179942,16.5667,32.9275
14752,13.3625,0.343652,0.176696,16.7332,31.9049
14783,31.162,0.33113,0.183188,16.883,31.0743
14832,14.0012,0.342261,0.17484,16.8167,49.0379
14864,14.1254,0.468406,0.175304,16.7801,31.8191
14896,13.991,0.397449,0.177623,16.9243,32.0199
14928,14.9649,0.367768,0.177623,17.0741,31.962
14961,13.8374,0.35942,0.176696,17.0059,33.0527
14993,12.8761,0.384927,0.209159,17.9891,31.872
15025,12.7801,0.389565,0.204522,17.2216,31.9759
15056,14.6796,0.389101,0.244869,17.1492,31.0673
15089,13.6116,0.335768,0.185971,16.3089,32.9591
15120,16.5751,0.323246,0.177159,16.2671,30.9384
15154,28.614,0.351072,0.177159,16.32,33.8416
15200,14.5874,0.346898,0.189681,16.4067,45.9603
15232,14.4617,0.338087,0.176232,16.4452,32.013
15264,14.5433,0.452637,0.178551,17.3806,31.8864
15297,14.3629,0.392811,0.186898,16.576,33.0453
15329,14.2664,0.37658,0.175304,16.6469,32.0222
15361,15.2042,0.403014,0.183188,16.6089,31.9745
15394,15.2422,0.35942,0.182725,16.762,32.8668
15427,12.0951,0.390956,0.184116,17.7725,33.0444
15458,13.0764,0.40858,0.207304,16.8255,30.9477
15489,13.9849,0.359884,0.177623,16.9224,31.0024
15520,29.9659,0.354319,0.180869,16.9962,31.9364
15568,13.8439,0.342724,0.178551,16.006,47.9708
15599,14.9138,0.336232,0.182725,16.9818,30.8758
15632,13.8945,0.360811,0.183652,17.0305,32.9233
15664,13.8537,0.524985,0.177623,16.9201,31.9587
15696,14.8243,0.389565,0.194783,17.1441,31.9564
15729,15.6234,0.369623,0.179942,16.307,33.0639
15762,12.6122,0.364985,0.182725,16.3951,32.9628
15792,16.4345,0.360348,0.178087,17.4061,30.0614
15827,11.4945,0.388174,0.188754,16.2857,34.8753
15856,14.5526,0.413681,0.193391,16.3613,28.8946
15888,30.4056,0.369159,0.185043,16.5737,32
15936,16.2551,0.353391,0.178087,16.5922,48.013
15970,12.3325,0.339014,0.183652,16.666,33.8857
16000,14.2307,0.325565,0.176696,16.7504,30.0035
16032,14.1519,0.341333,0.181797,16.7388,31.9981
16064,15.1369,0.452637,0.177623,16.7731,31.8956
16097,14.0443,0.407188,0.180869,16.7318,33.0458
16129,14.0396,0.370551,0.177159,16.8705,31.8743
16161,14.0689,0.373333,0.180406,17.9116,31.929
16194,16.9196,0.35942,0.177159,16.9294,33.0319
16229,9.96591,0.399304,0.184116,17.0129,34.8828
16257,29.7465,0.354319,0.188754,16.0241,28.0978
16303,14.8359,0.368695,0.190145,16.1345,46.8294
16336,14.6889,0.326493,0.175304,16.1906,32.0199
16367,14.7562,0.339014,0.183652,16.3135,31.8799
16399,14.554,0.342724,0.180869,16.4053,32.0728
16431,14.5247,0.333449,0.187362,17.3811,31.9791
16464,13.5086,0.449855,0.179478,16.3242,32.8992
16495,15.4616,0.397449,0.173913,16.4851,30.9542
16528,14.3856,0.373333,0.175304,16.5834,32.9994
16560,14.2507,0.368695,0.180406,16.6892,32.0399
