time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
14271,13.7108,0.676958,0.577123,16.4739,48.0483
14303,13.7638,0.63472,0.570212,16.5576,31.9426
14335,13.7872,0.803672,0.568292,16.2316,31.9979
14367,13.8656,0.627041,0.677726,16.4401,31.9031
14399,13.8344,0.731484,0.56714,16.2501,32.0981
14431,13.8813,0.760282,0.570212,16.313,31.8888
14463,13.8475,0.9588,0.575203,16.1203,32.0225
14495,13.9519,0.749147,0.571364,16.2086,31.9887
14527,13.9105,0.711133,0.569828,16.3157,31.9718
14559,14.0418,0.695773,0.570212,16.2144,32.0025
14591,29.9309,0.692702,0.585187,16.3142,32.0048
14639,13.8713,0.706525,0.572516,16.3027,48.0122
14671,13.9984,0.824791,0.573284,16.0746,31.9729
14703,13.9139,0.801368,0.582115,16.2098,32.0044
14735,13.9566,0.785241,0.575203,16.1871,31.9925
14767,13.9327,0.753755,0.570212,16.1625,32.0025
14799,14.0383,0.666207,0.56906,16.2124,31.9023
14831,14.0479,0.671199,0.562916,19.2973,31.9802
14866,10.9999,0.959568,0.565604,15.9175,35.0463
14895,13.9811,0.771802,0.560996,16.1748,28.9575
14927,13.985,0.834775,0.564452,16.0988,32.0167
14959,30.0987,0.716508,0.601314,16.0792,31.9664
15007,14.0779,0.708061,0.569444,16.1625,47.9953
15039,14.0084,0.676574,0.575971,16.2293,32.0236
15071,14.084,0.663903,0.56138,16.151,31.9895
15103,14.0084,118.623,0.642784,16.1022,31.9864
15253,0.0380141,0.723036,0.563684,16.1706,149.894
15271,6.10299,0.737243,0.616673,15.9655,17.9933
15295,14.2215,0.785625,0.560996,16.002,23.9742
15327,30.1582,0.663519,0.571748,16.1349,32.0121
15375,14.0579,0.824407,0.558308,16.0373,48.0053
15407,14.1217,0.746075,0.562532,16.0708,31.9956
15439,14.1639,0.660831,0.56138,16.131,31.9898
15471,14.2035,0.698077,0.560228,16.0443,32.0079
15503,14.1002,0.663519,0.674271,15.9636,31.9814
15535,14.306,0.709981,0.583651,15.9321,31.8739
15567,14.4569,0.785241,0.564068,16.6694,32.0244
15600,13.3522,0.668511,0.56522,15.9268,32.9778
15631,14.4408,0.661983,0.560612,15.8081,31.0234
15663,14.3367,0.660447,0.560996,15.9936,31.9752
15695,30.212,0.656991,0.56522,16.042,32.0336
15743,14.2073,0.652384,0.561764,16.0926,47.9642
15775,14.1704,0.822103,0.55754,15.9241,32.0348
15807,14.2165,0.733788,0.673503,15.9364,31.9537
15839,14.215,0.679262,0.55946,16.0101,32.0582
15871,14.2353,0.703069,0.671583,15.9314,31.9391
15903,14.291,0.694238,0.559844,15.8358,32.0229
15934,14.5225,0.668127,0.578659,15.853,31.8735
15967,14.3536,0.781401,0.559844,15.8569,32.1139
15999,14.2641,0.658527,0.673503,15.9172,32.0117
16031,14.344,0.660063,0.559076,15.8219,31.9868
16062,30.3979,0.661215,0.619745,16.7942,31.8812
