time[ms],x,y,arc,pos
6897,-584,11250,95,11
6905,-586,11263,95,11
6913,-586,11275,95,11
6921,-586,11289,95,11
6929,-586,11302,95,11
6937,-587,11317,95,11
6945,-590,11330,95,11
6953,-591,11343,95,11
6961,-593,11356,95,11
6969,-593,11369,95,11
6977,-594,11383,95,11
6985,-596,11397,95,11
6993,-598,11412,95,11
7001,-600,11426,95,11
7009,-602,11438,95,11
7017,-604,11451,95,11
7025,-605,11464,96,11
7033,-608,11478,96,11
7041,-610,11492,96,11
7049,-613,11505,96,11
7057,-615,11519,97,12
7065,-615,11531,97,12
7073,-618,11543,97,12
7081,-621,11558,97,12
7089,-623,11572,97,12
7097,-626,11587,97,12
7105,-629,11601,97,12
7113,-630,11615,98,12
7121,-631,11628,97,12
7129,-634,11642,97,12
7137,-636,11652,97,12
7145,-638,11665,97,12
7153,-639,11677,98,12
7161,-640,11690,97,12
7169,-641,11702,97,12
7177,-644,11713,96,11
7185,-645,11724,96,11
7193,-645,11736,96,11
7201,-645,11747,96,11
7209,-648,11759,96,11
7217,-649,11772,96,11
7225,-649,11784,96,11
7233,-651,11798,96,11
7241,-653,11810,96,11
7249,-655,11822,96,11
7257,-655,11836,96,11
7265,-655,11847,96,11
7273,-656,11858,96,11
7281,-658,11868,95,11
7289,-658,11880,96,11
7297,-659,11892,96,11
7305,-660,11906,95,11
7313,-661,11917,95,11
7321,-661,11931,94,11
7329,-661,11942,94,11
7337,-661,11953,94,11
7345,-663,11967,94,11
7353,-665,11979,94,11
7361,-665,11992,95,11
7369,-665,12005,95,11
7377,-666,12018,95,11
7385,-666,12032,95,11
7393,-666,12045,95,11
7401,-669,12058,95,11
7409,-669,12072,95,11
7417,-670,12087,95,11
7425,-670,12101,94,11
7433,-671,12113,94,11
7441,-674,12127,94,11
7449,-676,12142,94,11
7457,-679,12157,94,11
7465,-680,12169,95,11
7473,-681,12182,95,11
7481,-683,12196,95,11
7489,-685,12211,95,11
7497,-688,12226,96,11
7505,-689,12240,96,11
7513,-691,12257,96,11
7521,-695,12282,96,11
7529,-699,12308,96,11
7537,-703,12338,96,11
7545,-708,12371,97,12
7553,-713,12401,97,12
7561,-715,12429,97,12
7569,-719,12453,96,11
7577,-720,12473,96,11
7585,-721,12484,96,11
7593,-724,12493,96,11
7601,-725,12503,97,12
7609,-726,12515,97,12
7617,-726,12527,96,11
7625,-728,12540,96,11
7633,-729,12551,96,11
7641,-730,12562,96,11
7649,-734,12575,95,11
7657,-734,12586,96,11
7665,-735,12599,96,11
7673,-736,12612,96,11
7681,-738,12622,96,11
7689,-738,12633,96,11
7697,-738,12646,96,11
7705,-740,12658,96,11
7713,-740,12671,96,11
7721,-740,12683,96,11
7729,-740,12696,96,11
7737,-743,12708,96,11
7745,-743,12722,96,11
7753,-743,12734,96,11
7761,-743,12748,96,11
7769,-743,12761,96,11
7777,-743,12772,96,11
7785,-744,12784,96,11
7793,-744,12797,96,11
7801,-744,12811,96,11
7809,-745,12825,96,11
7817,-745,12838,95,11
7825,-745,12852,95,11
7833,-745,12866,95,11
7841,-745,12880,95,11
7849,-746,12893,95,11
7857,-746,12907,95,11
7865,-748,12922,95,11
7873,-750,12936,95,11
